"Billing entity","AWS($)","AWS Marketplace($)","Total costs($)"
"Billing entity total","70753.5708740384","13968.4","84721.9708740384"
"2023-04-01","7165.3899394493","1624.32","8789.7099394493"
"2023-05-01","10604.6268206483","2437.608","13042.2348206483"
"2023-06-01","12958.3438748266","2435.728","15394.0718748266"
"2023-07-01","13463.0803920206","2516.944","15980.0243920206"
"2023-08-01","13472.4157924706","2517.32","15989.7357924706"
"2023-09-01","13089.714054623","2436.48","15526.194054623"
