"Purchase option","On Demand($)","Total costs($)"
"Purchase option total","75932.2609345891","75932.2609345891"
"2023-05-01","13042.2348206483","13042.2348206483"
"2023-06-01","15394.0718748266","15394.0718748266"
"2023-07-01","15980.0243920206","15980.0243920206"
"2023-08-01","15989.7357924706","15989.7357924706"
"2023-09-01","15526.194054623","15526.194054623"
